date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:49	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22800-5f410c4fcf9c5%22	https://byvamesmart.sk/lib/slick-1.8.1/fonts/slick.eot	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/lib/slick-1.8.1/fonts/slick.eot	(from https://byvamesmart.sk/lib/slick-1.8.1/slick-theme.css)
23:45:49	914436/914436	---M--	200	added ('OK')	image/jpeg	etag:%22df404-5f65626f1a81a%22	https://byvamesmart.sk/assets/images/pool.jpg	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/pool.jpg	(from https://byvamesmart.sk/)
23:45:49	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22800-5f410c4fcf9c5%22	https://byvamesmart.sk/lib/slick-1.8.1/fonts/slick.eot?	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/lib/slick-1.8.1/fonts/slickd41d.eot	(from https://byvamesmart.sk/lib/slick-1.8.1/slick-theme.css)
23:45:50	1380/1380	---M--	200	added ('OK')	font/woff	etag:%22564-5f410c4ffd82a%22	https://byvamesmart.sk/lib/slick-1.8.1/fonts/slick.woff	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/lib/slick-1.8.1/fonts/slick.woff	(from https://byvamesmart.sk/lib/slick-1.8.1/slick-theme.css)
23:45:50	1892/1892	---M--	200	added ('OK')	font/ttf	etag:%22764-5f410c4fede28%22	https://byvamesmart.sk/lib/slick-1.8.1/fonts/slick.ttf	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/lib/slick-1.8.1/fonts/slick.ttf	(from https://byvamesmart.sk/lib/slick-1.8.1/slick-theme.css)
23:45:50	2152/2152	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22868-5f410c4fdf3c6%22	https://byvamesmart.sk/lib/slick-1.8.1/fonts/slick.svg	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/lib/slick-1.8.1/fonts/slick.svg	(from https://byvamesmart.sk/lib/slick-1.8.1/slick-theme.css)
23:45:52	273579/273579	---M--	200	added ('OK')	image/jpeg	etag:%2242cab-5f410c4b91a4a%22	https://byvamesmart.sk/assets/images/bg_2.jpg	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/bg_2.jpg	(from https://byvamesmart.sk/assets/css/style.css)
23:45:52	225040/225040	---M--	200	added ('OK')	image/jpeg	etag:%2236f10-5f410c4b75526%22	https://byvamesmart.sk/assets/images/bg_1.jpg	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/bg_1.jpg	(from https://byvamesmart.sk/assets/css/style.css)
23:45:54	361790/361790	---M--	200	added ('OK')	image/jpeg	etag:%225853e-5f410c4bac02d%22	https://byvamesmart.sk/assets/images/bg_3.jpg	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/bg_3.jpg	(from https://byvamesmart.sk/assets/css/style.css)
23:45:54	54838/54838	---M--	200	added ('OK')	image/png	etag:%22d636-5f410c4b5de24%22	https://byvamesmart.sk/assets/images/banner_bg.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/banner_bg.png	(from https://byvamesmart.sk/assets/css/style.css)
23:45:55	53954/53954	---M--	200	added ('OK')	image/png	etag:%22d2c2-5f410c4d2ad58%22	https://byvamesmart.sk/assets/images/slider_bg.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/slider_bg.png	(from https://byvamesmart.sk/assets/css/style.css)
23:45:55	331177/331177	---M--	200	added ('OK')	image/jpeg	etag:%2250da9-5f410c4bc94f0%22	https://byvamesmart.sk/assets/images/bg_4.jpg	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/bg_4.jpg	(from https://byvamesmart.sk/assets/css/style.css)
23:45:55	49354/49354	---M--	200	added ('OK')	image/png	etag:%22c0ca-5f410c4cdbbaf%22	https://byvamesmart.sk/assets/images/product_1.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/product_1.png	(from https://byvamesmart.sk/pages/hardware.html)
23:45:57	121327/121327	---M--	200	added ('OK')	image/png	etag:%221d9ef-5f410c4cf03d1%22	https://byvamesmart.sk/assets/images/product_2.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/product_2.png	(from https://byvamesmart.sk/pages/hardware.html)
23:45:58	532885/532885	---M--	200	added ('OK')	image/png	etag:%2282195-5f410c4c1f3fa%22	https://byvamesmart.sk/assets/images/bg_7.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/bg_7.png	(from https://byvamesmart.sk/assets/css/style.css)
23:45:59	377868/377868	---M--	200	added ('OK')	image/png	etag:%225c40c-5f410c4be7953%22	https://byvamesmart.sk/assets/images/bg_5.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/bg_5.png	(from https://byvamesmart.sk/assets/css/style.css)
23:45:59	38417/38417	---M--	200	added ('OK')	image/png	etag:%229611-5f410c4d16536%22	https://byvamesmart.sk/assets/images/product_4.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/product_4.png	(from https://byvamesmart.sk/pages/hardware.html)
23:45:59	385298/385298	---M--	200	added ('OK')	image/png	etag:%225e112-5f410c4c416dd%22	https://byvamesmart.sk/assets/images/blob_1.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/blob_1.png	(from https://byvamesmart.sk/pages/hardware.html)
23:45:59	46002/46002	---M--	200	added ('OK')	image/png	etag:%22b3b2-5f410c4d04bf4%22	https://byvamesmart.sk/assets/images/product_3.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/product_3.png	(from https://byvamesmart.sk/pages/hardware.html)
23:46:00	12795/12795	---M--	200	added ('OK')	image/png	etag:%2231fb-5f410c4e51c39%22	https://byvamesmart.sk/assets/images/partner_logo/partner_2.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/partner_logo/partner_2.png	(from https://byvamesmart.sk/pages/contact.html)
23:46:00	7596/7596	---M--	200	added ('OK')	image/png	etag:%221dac-5f410c4e6163b%22	https://byvamesmart.sk/assets/images/partner_logo/partner_3.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/partner_logo/partner_3.png	(from https://byvamesmart.sk/pages/contact.html)
23:46:00	12266/12266	---M--	200	added ('OK')	image/png	etag:%222fea-5f410c4e7009d%22	https://byvamesmart.sk/assets/images/partner_logo/partner_4.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/partner_logo/partner_4.png	(from https://byvamesmart.sk/pages/contact.html)
23:46:01	3160/3160	---M--	200	added ('OK')	image/png	etag:%22c58-5f410c4e92381%22	https://byvamesmart.sk/assets/images/partner_logo/partner_6.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/partner_logo/partner_6.png	(from https://byvamesmart.sk/pages/contact.html)
23:46:01	91286/91286	---M--	200	added ('OK')	image/png	etag:%2216496-5f410c4e8297f%22	https://byvamesmart.sk/assets/images/partner_logo/partner_5.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/partner_logo/partner_5.png	(from https://byvamesmart.sk/pages/contact.html)
23:46:01	109633/109633	---M--	200	added ('OK')	image/png	etag:%221ac41-5f410c4df7eaf%22	https://byvamesmart.sk/assets/images/partner_logo/partner_1.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/partner_logo/partner_1.png	(from https://byvamesmart.sk/pages/contact.html)
23:46:01	46960/46960	---M--	200	added ('OK')	image/png	etag:%22b770-5f410c4eb9485%22	https://byvamesmart.sk/assets/images/partner_logo/partner_8.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/partner_logo/partner_8.png	(from https://byvamesmart.sk/pages/contact.html)
23:46:02	25534/25534	---M--	200	added ('OK')	image/png	etag:%2263be-5f410c4ecadc7%22	https://byvamesmart.sk/assets/images/partner_logo/partner_9.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/partner_logo/partner_9.png	(from https://byvamesmart.sk/pages/contact.html)
23:46:02	70964/70964	---M--	200	added ('OK')	image/png	etag:%2211534-5f410c4ea5c03%22	https://byvamesmart.sk/assets/images/partner_logo/partner_7.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/partner_logo/partner_7.png	(from https://byvamesmart.sk/pages/contact.html)
23:46:02	12880/12880	---M--	200	added ('OK')	image/png	etag:%223250-5f410c4e078b1%22	https://byvamesmart.sk/assets/images/partner_logo/partner_10.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/partner_logo/partner_10.png	(from https://byvamesmart.sk/pages/contact.html)
23:46:02	1662/1662	---M--	200	added ('OK')	text/html	etag:%2267e-5f410c4e15372%22	https://byvamesmart.sk/assets/images/partner_logo/partner_11.webp	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/partner_logo/partner_11.html	(from https://byvamesmart.sk/pages/contact.html)
23:46:03	40132/40132	---M--	200	added ('OK')	image/png	etag:%229cc4-5f410c4e27c55%22	https://byvamesmart.sk/assets/images/partner_logo/partner_12.png	C:/Users/amin%20ullah/Downloads/fproject/byvamesmart.sk/assets/images/partner_logo/partner_12.png	(from https://byvamesmart.sk/pages/contact.html)
